id,title,author,genre,age_group,availability,description,thumbnail_url
266,Geronimo Paws Off Cheddarface,Geronimo Stilton,Childrens;Fiction;Fantasy;Childrens>Middle Grade;Adventure;Mystery;Childrens>Chapter Books;Animals;Humor;Sequential Art>Graphic Novels,0-2;2-4;4-10;10+,available,"When an impostor attempts to take over ""The Rodent's Gazette,"" Geronimo Stilton enlists the aid of his sister, Thea, and his cousin, Trap, to reverse the scheme.",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/266.jpg
267,Geronimo Run For The Hills Geronimo,Geronimo Stilton,Fiction;Childrens;Childrens>Middle Grade;Fantasy;Adventure;Childrens>Chapter Books;Mystery,0-2;2-4;4-10;10+,available,"Geronimo Stilton's relaxing vacation turns into a crazy treasure hunt in South Dakota, complete with a run-in with a mountain lion and a hot-air balloon ride to Mount Rushmore.",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/267.jpg
268,Geronimo Spacemice Alien Escape,Geronimo Stilton,Childrens;Fantasy;Humor;Childrens>Middle Grade;Space;Science Fiction;Fiction;Adventure;Science Fiction>Aliens;Childrens>Juvenile,0-2;2-4;4-10;10+,available,"An all-new Geronimo Stilton series spin-off, set in outer space!Meet Geronimo Stiltonix:He is a spacemouse -- the Geronimo Stilton of a parallel universe!",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/268.jpg
269,Geronimo Stilton Secret Agent,Geronimo Stilton,Childrens;Adventure;Fiction;Fantasy;Childrens>Middle Grade;Mystery;Animals;Childrens>Chapter Books;Sequential Art>Graphic Novels;Childrens>Juvenile,0-2;2-4;4-10;10+,available,"Geronimo Stilton finds himself on a mission to locate an important document, after secret agent Kornelius von Kickpay, his old friend from elementary school, shows up in town wearing his classic trenchcoat and sunglasses.",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/269.jpg
270,Geronimo The Giant Diamond Robbery,Geronimo Stilton,Mystery;Childrens;Fantasy;Childrens>Chapter Books;Adventure;Fiction;Childrens>Middle Grade;Humor;Animals;Childrens>Juvenile,0-2;2-4;4-10;10+,available,"When Geronimo agrees to be a caddie for his grandfather in a golf tournament, he and Special Agent OOK team up to prevent the theft of the Super Mouse Cup.",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/270.jpg
271,Geronimo The Haunted Castle,Geronimo Stilton,Fiction;Childrens;Mystery;Childrens>Middle Grade;Fantasy;Humor;Adventure;Animals;Childrens>Chapter Books;Holiday>Halloween,0-2;2-4;4-10;10+,available,"When he learns his friends Thea, Trap, and Benjamin are going, he can't say no--but this is going to be one super-spooky trip! 128 pp.",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/271.jpg
272,Geronimo The Mona Mouse Code,Geronimo Stilton,Childrens;Fiction;Childrens>Middle Grade;Fantasy;Mystery;Adventure;Childrens>Chapter Books;Animals;Cultural>France;Childrens>Juvenile,0-2;2-4;4-10;10+,available,"Geronimo investigates the rumors of a secret hidden in Mouse City's most famous painting, the Mona Mousa, and follows a trail of clues which lead below the streets of New Mouse City.",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/272.jpg
273,Geronimo The Mummy With No Name,Geronimo Stilton,Childrens;Fiction;Fantasy;Adventure;Childrens>Chapter Books;Childrens>Middle Grade;Mystery;Animals;Sequential Art>Graphic Novels;Sequential Art>Cartoon,0-2;2-4;4-10;10+,available,"When Geronimo receives an urgent message from Professor Sandsnout just before Halloween, he rushes over to the Egyptian Mouseum in New Mouse City and discovers real live mummies.",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/273.jpg
274,Geronimo The Mysterious Cheese Thief,Geronimo Stilton,Childrens;Fiction;Fantasy;Mystery;Adventure;Childrens>Middle Grade;Childrens>Chapter Books;Childrens>Juvenile;Humor;Sequential Art>Comics,0-2;2-4;4-10;10+,available,"When Stilton cheese begins disappearing during Geronimo's trip to England, he decides to track down the thief.",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/274.jpg
275,Geronimo The Mystery In Venice,Geronimo Stilton,Childrens;Mystery;Fiction;Childrens>Middle Grade;Fantasy;Adventure;Childrens>Chapter Books;Humor;Childrens>Juvenile,0-2;2-4;4-10;10+,available,"Accepting an ugly crystal figurine from Petunia Pretty Paws, Geronimo Stilton discovers a mysterious message inside the figurine from a Venetian mouse who requires assistance. Original.",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/275.jpg
276,Geronimo The Search Of The Sunken Treasure,Edizioni Piemme,Childrens;Fantasy;Adventure;Fiction;Childrens>Chapter Books;Childrens>Middle Grade;Mystery;Animals;Childrens>Juvenile;Humor,0-2;2-4;4-10;10+,available,Geronimo and his friends set sail to the Ratlapagos Islands to search for a sunken treasure. He soon begins to suspect that they aren't the only ones looking for the treasure.,https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/276.jpg
277,Geronimo The Secret Of Cacklefur Castle,,Childrens;Fiction;Fantasy;Childrens>Middle Grade;Adventure;Childrens>Chapter Books;Mystery;Animals;Humor;Sequential Art>Comics,0-2;2-4;4-10;10+,available,"When Geronimo is invited to Creepella von Cacklefur's spooky castle, he is surrounded by the gloom of the castle as well as by Creepella's creepy family!",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/277.jpg
278,Geronimo The Way Of Samurai,Geronimo Stilton,Childrens;Fantasy;Fiction;Childrens>Middle Grade;Cultural>Japan;Adventure;Childrens>Chapter Books;Childrens>Juvenile;Mystery,0-2;2-4;4-10;10+,available,"While on the search for a legendary samurai scroll, Geronimo Stilton and Wild Willie have to fight a group of talented ninjas who want the scroll that holds the secret to a long-lost fighting technique.",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/278.jpg
279,Geronimo Valentine'S Day Disaster,Geronimo Stilton,Childrens;Fiction;Fantasy;Adventure;Mystery;Childrens>Chapter Books;Childrens>Middle Grade;Childrens>Juvenile;Childrens>Young Readers;Animals,0-2;2-4;4-10;10+,available,Geronimo sends valentines to all his friends but seems destined to spend the day alone.,https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/279.jpg
280,Geronimo Valley Of The Giant Skeletons,Geronimo Stilton,Childrens;Fiction;Fantasy;Adventure;Childrens>Middle Grade;Animals>Dinosaurs;Childrens>Chapter Books;Mystery;Humor;Novels,0-2;2-4;4-10;10+,available,"When Geronimo gets lost looking for hidden treasures in the Gobi Desert, he comes across giant dinosaur bones.",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/280.jpg
281,Geronimo Wedding Crasher,Geronimo Stilton,Childrens;Fiction;Fantasy;Adventure;Mystery;Childrens>Middle Grade;Childrens>Chapter Books;Sequential Art>Cartoon;Humor;Animals,0-2;2-4;4-10;10+,available,"When Geronimo gets an invitation to his cousin's wedding at Cheap Change Hill, Thea, Trap, and Benjamin convince him to attend.",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/281.jpg
282,Get Off That Camel!,A. H. Benjamin,Childrens>Picture Books;Childrens;Cultural>India;Animals,0-2;2-4;4-10;10+,available,A humorous picture book about a little girl who graduates from being obsessed with a toy camel to being unable to stop riding a real one. Suitable for diverse and multicultural book collections.,https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/282.jpg
283,Ghost Town At Sundown,Mary Pope Osborne,Childrens;Fantasy;Fiction;Historical>Historical Fiction;Childrens>Chapter Books;Adventure;Science Fiction>Time Travel;Childrens>Middle Grade;Historical;Fantasy>Magic,0-2;2-4;4-10;10+,available,"Their magic tree house takes Jack and Annie back to the Wild West, where they experience excitement and danger and try to solve a riddle.",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/283.jpg
284,Ghosts Unlimited, ,,0-2;2-4;4-10;10+,available, ,
285,Ghudsawar,Udayan Vajpai,,0-2;2-4;4-10;10+,available, ,
286,Giant Pandas Are Awesome,Megan Cooley Peterson,,0-2;2-4;4-10;10+,available,"""Introduces young readers to giant pandas, including physical characteristics, behavior, habitat, diet, and life cycle""--",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/286.jpg
287,Gilbert The Hero,Jane Clarke,Childrens>Picture Books;Childrens;Animals;Family;Fiction;Adventure,0-2;2-4;4-10;10+,available,An exciting third book in the Gilbert series where Gilbert discovers that being a big brother can sometimes be fun after all.,https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/287.jpg
288,Girgit Aur Mendak,Dr.Rupesh Kavi,,0-2;2-4;4-10;10+,available, ,
289,Glubbslyme,Jacqueline Wilson,,0-2;2-4;4-10;10+,available,"'Glubbslyme. You're magic!' When Rebecca wades into the witch's pond after a row with her best friend Sarah, she meets a very unusual new friend - a huge, warty toad! And Glubbslyme is no ordinary toad.",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/289.jpg
290,Go To Bed,Emma Lynch,,0-2;2-4;4-10;10+,available, ,https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/290.jpg
291,Goats, ,,0-2;2-4;4-10;10+,available, ,
292,Goldilocks And The Three Bears,,Childrens;Fantasy>Fairy Tales,0-2;2-4;4-10;10+,available,Three bears return home from a walk to find a little girl asleep in baby bear's bed.,https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/292.jpg
293,Good As Gold,Ann Braybrooks,Childrens>Picture Books;Childrens;Kids,0-2;2-4;4-10;10+,available, ,https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/293.jpg
294,"Good Morning ,Gorillas",Mary Pope Osborne,Childrens;Fantasy;Fiction;Childrens>Chapter Books;Adventure;Animals;Historical>Historical Fiction;Fantasy>Magic;Science Fiction>Time Travel;Childrens>Middle Grade,0-2;2-4;4-10;10+,available,"The magic tree house takes Jack and Annie to an African rainforest, where the siblings encounter gorillas and learn to communicate with them.",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/294.jpg
295,Good Night Harry,Kim Lewis,Childrens>Picture Books;Childrens;Animals;Fiction;Childrens>Storytime,0-2;2-4;4-10;10+,available,"When Harry, a toy elephant, has trouble sleeping, his friends help him.",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/295.jpg
296,Goodbye Mog,Judith Kerr,Childrens>Picture Books;Animals;Death;Animals>Cats;Childrens;Family;Fiction;Love,0-2;2-4;4-10;10+,available,"Everyone's favourite family cat is back in this beautiful picture book, reissued with a charming new cover. When Mog's garden disappears under an enormous white flappy thing, Mog is very unhappy and does A Bad Thing.",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/296.jpg
297,Goodnight Moon,Margaret Wise Brown,Childrens;Childrens>Picture Books;Classics;Fiction;Poetry;Kids;Animals;Young Adult;Childrens>Juvenile;Childrens>Storytime,0-2;2-4;4-10;10+,available,The classic bedtime story that has lulled generations of children to sleep is the perfect first book to share with a child.,https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/297.jpg
298,Goodnight Spaceman,Michelle Robinson,Childrens>Picture Books;Space;Poetry;Childrens,0-2;2-4;4-10;10+,available,"Inspired by ESA astronaut Tim Peake and his sons, and featuring an introduction from Tim, this is the perfect bedtime book!",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/298.jpg
299,Goofy'S Cleaning Day,Walt Disney Productions,,0-2;2-4;4-10;10+,available,"Pluto came out of the house holding a feather duster , and looked at Goofy's seed package . He was not much better at reading than Goofy was . ... And he went indoors to carry on with his spring cleaning . Goofy raked the garden smoothÂ ...",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/299.jpg
300,Goose On The Loose,Phil Roxbee Cox,Childrens;Childrens>Picture Books;Animals;Teaching;Transport,0-2;2-4;4-10;10+,available,This illustrated easy reader blends a phonic-based text with a funny story and is designed to help children crack the reading code with ease.,https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/300.jpg
301,Goosebumps Slappyworld,R. L. Stine,,0-2;2-4;4-10;10+,available,This is Slappy's world -- You only scream in it!,https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/301.jpg
302,Grandma Bubba'S Warm Shawl,Rijuta Ghate,,0-2;2-4;4-10;10+,available,,https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/302.jpg
303,Grandma'S Bag Of Stories,Sudha Murty,Fiction;Short Stories;Childrens;Asian Literature>Indian Literature;Cultural>India;Short Stories>Short Story Collection;Anthologies;Young Adult,0-2;2-4;4-10;10+,available,"Grandma tells the stories over long summer days and nights, as seven children enjoy life in her little town. The stories entertain, educate and provide hours of enjoyment to them. So come, why donâ€™t you too join in the fun.",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/303.jpg
304,Grandparents Bag Of Stories,Sudha Murty,Childrens;Fiction;Asian Literature>Indian Literature,0-2;2-4;4-10;10+,available,"Grandma tells the stories over long summer days and nights, as seven children enjoy life in her little town. The stories entertain, educate and provide hours of enjoyment to them. So come, why donâ€™t you too join in the fun.",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/304.jpg
305,Great Big Train,Benedict Blathwayt,Childrens>Picture Books,0-2;2-4;4-10;10+,available,"With a minimal text and big, busy pages Ben's books have enormous appeal for young children. Now enjoy this classic picture book with the accompanying audio CD, read by Richard Briers with music and sound effects.",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/305.jpg
306,Great Stories For Children,Ruskin Bond,Short Stories;Fiction;Childrens;Adventure;Drama;Diary;Young Adult>Coming Of Age,0-2;2-4;4-10;10+,available,Great Stories for Children is a potpourri of short stories that effectively transports the reader to the fascinating world of its endearing characters.,https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/306.jpg
307,Green Eggs And Ham,Dr. Seuss,Childrens;Childrens>Picture Books;Classics;Fiction;Poetry;Fantasy;Humor;Kids;Food and Drink>Food;Young Adult,0-2;2-4;4-10;10+,available,"When Sam-I-am pesters a grumpy grouch to eat a plate of green eggs and ham, we soon find out we can't really know what we like until we try it!",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/307.jpg
308,Guess How Much I Love You,Sam McBratney,Childrens>Picture Books;Childrens;Fiction;Animals;Family;Classics;Love;Kids;Childrens>Storytime;Animals>Rabbits,0-2;2-4;4-10;10+,available,"""How much can you love someone? Little Nutbrown Hare wants to show Big Nutbrown Hare how very much he loves him-- but love as big as his is very hard to measure! Read this tender book with someone you love!""--Page 4 of cover.",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/308.jpg
309,Gulliver'S Travels,Jonathan Swift,Classics;Fiction;Fantasy;Adventure;Literature;Novels;Classics>Classic Literature;Literature>18th Century;Academic>School;European Literature>British Literature,0-2;2-4;4-10;10+,available,"Gulliver's Travels by Jonathan Swift from Coterie Classics All Coterie Classics have been formatted for ereaders and devices and include a bonus link to the free audio book. â€œEvery man desires to live long, but no man wishes to be old.â€ ...",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/309.jpg
310,Hairy Maclary From Donaldson'S Dairy,Lynley Dodd,Childrens>Picture Books;Childrens;Animals;Fiction;Animals>Dogs;Poetry;Classics;Childrens>Storytime;Animals>Cats;Humor,0-2;2-4;4-10;10+,available,"The classic story in a new, larger format. Hairy Maclary goes off for a walk with a few of his friends - and comes up against a nasty surprise in the shape of Scarface Claw",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/310.jpg
311,Hairy Maclary Scattercat,Lynley Dodd,Childrens>Picture Books;Childrens;Fiction;Animals>Cats;Animals;Animals>Dogs;Humor,0-2;2-4;4-10;10+,available,"In SCATTERCAT, Hairy encounters the ferocious Scarface Claw, who ""bothered and bustled him, rustled and hustled him, raced him and chased him all the way home.""",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/311.jpg
312,Hairy Maclary'S Caterwaul Caper,Lynley Dodd,Childrens>Picture Books;Childrens;Animals>Dogs;Animals>Cats;Animals;Fiction;Poetry,0-2;2-4;4-10;10+,available,"Hairy Maclary heard a strange sound, a yowling, a wailing that echoed around .",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/312.jpg
313,Hamlet,William Shakespeare,Classics;Plays;Fiction;Drama;Academic>School;Literature;Plays>Theatre;Academic>Read For School;Poetry;Young Adult>High School,0-2;2-4;4-10;10+,available,"When the ghost of his father appears to Prince Hamlet of Denmark, urging him to avenge his murder upon his uncle, the tragic flaw of indecision leads Hamlet to ruin",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/313.jpg
314,Hamna Khoji Nai Kahani,Vibha Devasre,,0-2;2-4;4-10;10+,available, ,
315,Hansel And Gretel,,Classics;Childrens;Fantasy;Fiction;Fantasy>Fairy Tales;Childrens>Picture Books;Short Stories;Literature>19th Century;European Literature>German Literature;Paranormal>Witches,0-2;2-4;4-10;10+,available,,https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/315.jpg
316,Happy Dog Sad Dog,Sam Lloyd,,0-2;2-4;4-10;10+,available,"""Hot dog, hairy dog, dirty dog--find out the opposites of these and more inside ...""--Cover back. On board pages.",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/316.jpg
317,Harry And The Bucketful Of Dinosaurs,Ian Whybrow,Childrens>Picture Books;Animals>Dinosaurs;Childrens;Fiction;Childrens>Storytime;Animals;Adventure;Teaching,0-2;2-4;4-10;10+,available,Five roaringly good Harry stories. Meet Harry and his bucketful of dinosaurs. Harry doesn't go anywhere without his beloved dinosaurs in their special bucket and since he found them they've had lots of fun together.,https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/317.jpg
318,Harry And The Dinosaurs Go To School,Ian Whybrow,Childrens>Picture Books;Childrens;Animals>Dinosaurs;Academic>School;Fiction;Animals;School>Back To School,0-2;2-4;4-10;10+,available,"A classic story about Harry and his bucketful of dinosaurs! When Harry and the dinosaurs go to the museum they see Roman swords and spears, Egyptian mummies and lots of Harry's ancestors.",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/318.jpg
319,"Harry And The Dinosaurs Say ""Raahh!""",Ian Whybrow,,0-2;2-4;4-10;10+,available,Harry needs to visit the dentist and hopes the dinosaurs will behave when he gets there. Harry needs to visit the dentist and hopes the dinosaurs will behave when he gets there.,https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/319.jpg
320,Harry And The Robots,Ian Whybrow,Childrens>Picture Books;Science Fiction>Robots;Fiction;Childrens;Health,0-2;2-4;4-10;10+,available,"When Harry's toy robot stops marching, he sends it to the robot hospital to be fixed.",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/320.jpg
321,Harry Potter And The Chamber Of Secrets,J. K. Rowling,Fantasy;Fiction;Young Adult;Fantasy>Magic;Childrens;Childrens>Middle Grade;Audiobook;Adventure;Classics;Science Fiction Fantasy,0-2;2-4;4-10;10+,available,"When the Chamber of Secrets is opened again at the Hogwarts School for Witchcraft and Wizardry, second-year student Harry Potter finds himself in danger from a dark power that has once more been released on the school.",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/321.jpg
322,Harry Potter And The Cursed Child,J. K. Rowling,Fantasy;Fiction;Young Adult;Plays;Fantasy>Magic;Adventure;Childrens>Middle Grade;Drama;Science Fiction>Time Travel;Childrens,0-2;2-4;4-10;10+,available,"As an overworked employee of the Ministry of Magic, a husband, and a father, Harry Potter struggles with a past that refuses to stay where it belongs while his youngest son, Albus, finds the weight of the family legacy difficult to bear.",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/322.jpg
323,Harry Potter And The Deathly Hallows,J. K. Rowling,Young Adult;Fiction;Fantasy>Magic;Childrens;Adventure;Audiobook;Childrens>Middle Grade;Classics;Science Fiction Fantasy;Novels,0-2;2-4;4-10;10+,available,"The seventh and final book of the blockbuster Harry Potter series follows the wizard's last year at Hogwarts School of Witchcraft and Wizardry. 12,000,000 first printing.",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/323.jpg
324,Harry Potter And The Goblet Of Fire,J. K. Rowling,Fantasy;Young Adult;Fiction;Fantasy>Magic;Childrens;Adventure;Childrens>Middle Grade;Audiobook;Classics;Science Fiction Fantasy,0-2;2-4;4-10;10+,available,"Fourteen-year-old Harry Potter joins the Weasleys at the Quidditch World Cup, then enters his fourth year at Hogwarts Academy where he is mysteriously entered in an unusual contest that challenges his wizarding skills, friendships and ...",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/324.jpg
325,Harry Potter And The Half-Blood Prince,J.K. Rowling,Fantasy;Young Adult;Fiction;Fantasy>Magic;Childrens;Adventure;Audiobook;Childrens>Middle Grade;Classics;Science Fiction Fantasy,0-2;2-4;4-10;10+,available,"With their message of hope, belonging and the enduring power of truth and love, the story of the Boy Who Lived continues to delight generations of new readers.",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/325.jpg
326,Harry Potter And The Order Of The Phoenix,J. K. Rowling,Fantasy;Young Adult;Fiction;Fantasy>Magic;Childrens;Adventure;Audiobook;Childrens>Middle Grade;Classics;Science Fiction Fantasy,0-2;2-4;4-10;10+,available,"This gorgeous new edition in celebration of the 20th anniversary of the publication of Harry Potter and the Sorcerer's Stone features a newly designed cover illustrated by Caldecott Medalist Brian Selznick, as well as the beloved original ...",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/326.jpg
327,Harry Potter And The Philosopher'S Stone,J. K. Rowling,Fantasy;Fiction;Young Adult;Fantasy>Magic;Childrens;Childrens>Middle Grade;Classics;Adventure;Audiobook;Science Fiction Fantasy,0-2;2-4;4-10;10+,available,"An incredible adventure is about to begin!These new editions of the classic and internationally bestselling, multi-award-winning series feature instantly pick-up-able new jackets by Jonny Duddle, with huge child appeal, to bring Harry ...",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/327.jpg
328,Harry Potter And The Prisoner Of Azkaban,J. K. Rowling,Fantasy;Young Adult;Fiction;Fantasy>Magic;Childrens;Childrens>Middle Grade;Adventure;Audiobook;Classics;Science Fiction Fantasy,0-2;2-4;4-10;10+,available,Harry Potter must confront the devious and dangerous wizard responsible for his parents' deaths.,https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/328.jpg
329,Harry Potter And The Sorcerer'S Stone,J. K. Rowling,Fantasy;Fiction;Young Adult;Fantasy>Magic;Childrens;Childrens>Middle Grade;Classics;Adventure;Audiobook;Science Fiction Fantasy,0-2;2-4;4-10;10+,available,"Rescued from the outrageous neglect of his aunt and uncle, a young boy with a great destiny proves his worth while attending Hogwarts School for Wizards and Witches.",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/329.jpg
330,Harsha, ,,0-2;2-4;4-10;10+,available, ,https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/330.jpg
331,Hathi Or Kutha,Badari Narayan,,0-2;2-4;4-10;10+,available, ,
332,Hau Hau Happ, ,Thriller;Mystery;Fiction;Suspense;Thriller>Mystery Thriller;Fantasy>Paranormal;Audiobook;Thriller>Psychological Thriller;Horror;Fantasy,0-2;2-4;4-10;10+,available, ,https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/332.jpg
333,Hava Kaha Rahthi He,,Fiction;Cultural>India;Magical Realism;Novels,0-2;2-4;4-10;10+,available,,https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/333.jpg
334,Hazel Raids The Farm,Diane Redmond,,0-2;2-4;4-10;10+,available,,https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/334.jpg
335,"Hello, Crabby",Jonathan Fenske,Childrens>Picture Books;Humor;Sequential Art>Graphic Novels;Animals;Fiction;Childrens;Childrens>Juvenile;Psychology>Emotion;Fantasy;Childrens>Chapter Books,0-2;2-4;4-10;10+,available,"Take a sick day with the ocean's crankiest crab! Pick a book. Grow a Reader! This series is part of Scholastic's early reader line, Acorn, aimed at children who are learning to read.",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/335.jpg
336,Helping Hands, ,,0-2;2-4;4-10;10+,available, ,
337,Henry And Mudge And The Bedtime Thumbs,Cynthia Rylant,Childrens;Childrens>Picture Books;Animals>Dogs;Fiction;Childrens>Chapter Books;Family;Humor;Kids,0-2;2-4;4-10;10+,available,Level 2 Ready-to-Read Henry and his 180-pound dog Mudge are best friends forever. And in this ninth book of their adventures they spend a scary night together at Henry's grandmother's house in the country.,https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/337.jpg
338,Henry Iv Part 2,William Shakespeare,Plays;Classics;Drama;Fiction;Historical>Historical Fiction;Plays>Theatre;Poetry;Literature;Historical;European Literature>British Literature,0-2;2-4;4-10;10+,available,"More troubled and troubling than King Henry IV Part 1, the play continues the story of King Henry's decline and Hal's reform.",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/338.jpg
339,Hen'S Pens,Phil Roxbee Cox,Childrens;Childrens>Picture Books;Teaching,0-2;2-4;4-10;10+,available,Hen has ten new pens which she uses to draw on other things when the paper runs out.,https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/339.jpg
340,Here Come The Aliens!,Colin McNaughton,Childrens>Picture Books;Childrens;Science Fiction>Aliens;Humor;Poetry;Science Fiction;Fiction,0-2;2-4;4-10;10+,available,"In this colourful picture book, the aliens are coming - in all shapes and sizes. But something frightens them off, and they vanish forever.",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/340.jpg
341,Here Comes Mr Bump,Roger Hargreaves,Childrens;Childrens>Picture Books;Fiction;Classics;Childrens>Juvenile;Fantasy;Young Adult;Humor,0-2;2-4;4-10;10+,available,"Digitally available for the first time, these bright, charming books, with their easily recognizable characters, are easy enough for young readers and witty enough for adults.",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/341.jpg
342,Here Comes Spring, ,Childrens>Picture Books,0-2;2-4;4-10;10+,available, ,https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/342.jpg
343,High School Musical,Disney Books,,0-2;2-4;4-10;10+,available,A group of students who attend the Utah high school where the original High School Musical movies were filmed prepare for their fall production of High School Musical.,https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/343.jpg
344,Hinduism, ,,0-2;2-4;4-10;10+,available, ,
345,Hisssss! (Kipper),Mick Inkpen,Animals;Childrens,0-2;2-4;4-10;10+,available,"It's a very hot day, a paddling pool kind of day. But what is that tiny hissss Kipper can hear?",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/345.jpg
346,Horrid Henry And The Abominable Snowman,Francesca Simon,Childrens;Childrens>Chapter Books;Humor;Childrens>2nd Grade;Childrens>Middle Grade;Audiobook;Fiction,0-2;2-4;4-10;10+,available,"My son took this book as his favourite during book week at his school and converted a few children to the cause. Long live Francesca Simon and her brilliant books! More, more please!",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/346.jpg
347,Horrid Henry And The Bogey Babysitter,Francesca Simon,Childrens;Fiction;Humor,0-2;2-4;4-10;10+,available,"Horrid Henry hates babysitters - and he knows exactly how to make sure they never come back. That is, until he meets Rabid Rebecca, the toughest teen in town.",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/347.jpg
348,Horrid Henry And The Secret Club,Francesca Simon,Childrens;Fiction;Childrens>Middle Grade;Novels;Humor,0-2;2-4;4-10;10+,available,"Four stories about Henry, in which he has to face Nurse Needle for an injection, torments his brother Peter, creates havoc at his birthday party, and plans revenge when Moody Margaret won't let him into her secret club.",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/348.jpg
349,Horrid Henry Robs The Bank,Francesca Simon,,0-2;2-4;4-10;10+,available,"Horrid Henry helps himself to all the money he needs to win his favourite board game, comes up with another spectacular money-making scheme for launching a newspaper with all the school gossip, vows vengeance on Perfect Peter when Peter ...",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/349.jpg
350,Horrid Henry Rocks,Francesca Simon,Childrens;Humor;Fiction,0-2;2-4;4-10;10+,available,"Henry is up to his usual mischief: annoying his younger brother, ruining Moody Margaret's sleepover, and irritating his teacher, Mrs.",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-2/350.jpg
